name,Cleanliness,width(m),height,People per day,water quality,evaluation,海水浴場の緯度,海水浴場の経度,現在位置の緯度,現在位置の経度,Distance
いなげの浜,8,1200,50,1617,,,35.61537153,140.0632432,,,
波左間海水浴場,3,490,35.1,528,A,,34.97278975,139.7884729,,,
鱚ヶ浦海水浴場,6,320,29.2,133,A,,35.12563021,139.8361168,,,
保田海水浴場,4,1000,30.2,182,A,,35.14123705,139.8348525,,,
大六海水浴場,6,316,31,133,AA,,35.12058935,139.83199,,,
勝山海水浴場,7,700,19.9,136,AA,,35.12054847,139.8316531,,,
元名海水浴場,8,665,39.1,200,AA,,35.14774788,139.8309183,,,
北条海水浴場,4,747,32.4,417,A,,35.0024361,139.8590421,,,
豊岡海水浴場,6,134,22.7,241,AA,,35.05161764,139.8320227,,,
多田良北浜海水浴場,4,541,47.5,276,A,,35.04074106,139.8283266,,,
上総湊海水浴場,6,1040,90,222,AA,,35.22292281,139.8696973,,,
根本海水浴場,8,911,82.7,1300,AA,,34.90550284,139.8383658,,,
原岡海水浴場,7,440,37.9,207,AA,,35.0449621,139.8324056,,,
名倉海水浴場,7,290,43.3,300,A,,34.90762717,139.9089578,,,
冨津海水浴場,6,2040,56.4,1639,AA,,35.3066033,139.8138282,,,
大貫中央海水浴場,7,261,68.1,143,A,,35.28117765,139.8526146,,,
新舞子海水浴場,2,359,32.2,1345,A,,35.24949809,139.8665736,,,
塩補海水浴場,7,256,45.5,333,AA,,34.90933947,139.9185769,,,
岩井海水浴場,8,1420,49.8,1333,AA,,35.09412351,139.8402521,,,
和田浦海水浴場,7,1200,55.7,133,AA,,35.04023225,140.0208192,,,
御宿町浜海水浴場,8,373,93.1,160,A,,35.18180801,140.3513791,,,
太東海水浴場,6,767,73,333,B,,35.32954717,140.399829,,,
太海海水浴場,5,341,28.5,139,A,,35.0803711,140.0991925,,,
江見海水浴場,6,390,35.2,56,A,,35.05937084,140.0590952,,,
御宿中央海水浴場,9,558,120.1,500,A,,35.18364108,140.354411,,,
興津海水浴場,8,452,41.9,750,A,,35.13503238,140.2493796,,,
南千倉海水浴場,7,636,53.6,433,A,,34.96467284,139.9602088,,,
内浦海水浴場,5,540,39.5,444,A,,35.12751232,140.190952,,,
前原海水浴場,6,573,98.5,639,A,,35.10285731,140.1053039,,,
瀬戸浜海水浴場,4,308,32.6,133,A,,34.97764747,139.9679434,,,
城崎海水浴場,8,640,53.8,1111,AA,,35.12313827,140.1688182,,,
勝浦中央海水浴場,7,616,28.1,1000,A,,35.15049061,140.3068051,,,
守谷海水浴場,9,808,28,2944,AA,,35.13818823,140.2615792,,,
鵜原海水浴場,8,574,47.9,778,A,,35.13761415,140.2748966,,,
真亀海水浴場,7,813,103.2,209,B,,35.50220363,140.4325794,,,
片貝海水浴場,5,1920,209.3,672,B,,35.52764558,140.4522376,,,
一松海水浴場,4,1270,65.9,184,AA,,35.41242078,140.3951668,,,
白里海水浴場,7,2530,123,1164,B,,35.48536119,140.4218785,,,
不動堂海水浴場,6,1670,107.3,262,B,,35.50737554,140.4365151,,,
白幡・井之内海水浴場,3,1680,173.4,356,B,,35.5599529,140.4782992,,,
中里海水浴場,3,1330,75.6,459,AA,,35.43168422,140.3998717,,,
小松海水浴場,6,1230,126.4,80,B,,35.57317617,140.4910176,,,
作田海水浴場,7,1210,157,163,AA,,35.54534882,140.4673782,,,
一宮海水浴場,2,452,55.9,541,AA,,35.37808982,140.3907767,,,
本須賀海水浴場,7,944,190.8,440,B,,35.55017648,140.4706765,,,
南浜海水浴場,5,1790,145.5,120,B,,35.58470528,140.5031536,,,
殿下海水浴場,4,1230,129.9,280,B,,35.59687448,140.5170075,,,
矢指ケ浦海水浴場,5,760,105.2,279,B,,35.69236227,140.66763,,,
中下海水浴場,7,1020,142.7,120,B,,35.59231885,140.5113668,,,
屋形海水浴場,7,1220,129.8,222,B,,35.60606626,140.5303471,,,
飯岡海水浴場,3,210,20,256,B,,35.70188886,140.7085451,,,
銚子マリーナ海水浴場,3,184,77.5,417,A,,35.70737558,140.8397897,,,
海鹿島海水浴場,4,110,23.7,56,A,,35.72063536,140.8698034,,,
長崎海水浴場,2,138,24.1,83,AA,,35.69775134,140.8630397,,,
大原海水浴場,4,288,139,361,B,,35.26461415,140.3992584,,,
沖ノ島海水浴場,3,400,40,1111,AA,,34.99013077,139.8269349,,,
新井海水浴場,3,426,26.5,83,A,,34.99131211,139.8561035,,,
